dma_code,dma_name,week_start,week_end,search_interest,scaled_search_interest,is_partial
803,Los Angeles,2024-03-31T00:00:00Z,2024-04-07T00:00:00Z,7600,20,False
803,Los Angeles,2024-04-07T00:00:00Z,2024-04-14T00:00:00Z,7300,19,False
803,Los Angeles,2024-04-14T00:00:00Z,2024-04-21T00:00:00Z,6500,17,False
803,Los Angeles,2024-04-21T00:00:00Z,2024-04-28T00:00:00Z,7500,19,False
803,Los Angeles,2024-04-28T00:00:00Z,2024-05-05T00:00:00Z,7900,20,False
803,Los Angeles,2024-05-05T00:00:00Z,2024-05-12T00:00:00Z,6500,17,False
803,Los Angeles,2024-05-12T00:00:00Z,2024-05-19T00:00:00Z,7100,18,False
803,Los Angeles,2024-05-19T00:00:00Z,2024-05-26T00:00:00Z,7300,19,False
803,Los Angeles,2024-05-26T00:00:00Z,2024-06-02T00:00:00Z,7400,19,False
803,Los Angeles,2024-06-02T00:00:00Z,2024-06-09T00:00:00Z,7500,19,False
803,Los Angeles,2024-06-09T00:00:00Z,2024-06-16T00:00:00Z,6600,17,False
803,Los Angeles,2024-06-16T00:00:00Z,2024-06-23T00:00:00Z,8100,21,False
803,Los Angeles,2024-06-23T00:00:00Z,2024-06-30T00:00:00Z,8300,21,False
803,Los Angeles,2024-06-30T00:00:00Z,2024-07-07T00:00:00Z,6500,17,False
803,Los Angeles,2024-07-07T00:00:00Z,2024-07-14T00:00:00Z,6600,17,False
803,Los Angeles,2024-07-14T00:00:00Z,2024-07-21T00:00:00Z,8500,22,False
803,Los Angeles,2024-07-21T00:00:00Z,2024-07-28T00:00:00Z,7100,18,False
803,Los Angeles,2024-07-28T00:00:00Z,2024-08-04T00:00:00Z,7300,19,False
803,Los Angeles,2024-08-04T00:00:00Z,2024-08-11T00:00:00Z,7000,18,False
803,Los Angeles,2024-08-11T00:00:00Z,2024-08-18T00:00:00Z,7100,18,False
803,Los Angeles,2024-08-18T00:00:00Z,2024-08-25T00:00:00Z,7500,19,False
803,Los Angeles,2024-08-25T00:00:00Z,2024-09-01T00:00:00Z,8400,22,False
803,Los Angeles,2024-09-01T00:00:00Z,2024-09-08T00:00:00Z,7300,19,False
803,Los Angeles,2024-09-08T00:00:00Z,2024-09-15T00:00:00Z,6900,18,False
803,Los Angeles,2024-09-15T00:00:00Z,2024-09-22T00:00:00Z,7500,19,False
803,Los Angeles,2024-09-22T00:00:00Z,2024-09-29T00:00:00Z,9400,24,False
